year,ucdp_n_conflicts,ucdp_wars,ucdp_smooth,color,wars,wars_smooth
1946,12,6.6,6.3,-0.4790272887455623,4.1,14.509090909090908
1947,9,3.6,6.085714285714286,-0.46597242456085,6.2,14.236363636363636
1948,15,7.800000000000001,5.85,-0.4497062716983992,14.0,14.754545454545456
1949,16,8.2,5.666666666666667,-0.4646007826803501,7.800000000000001,13.9
1950,13,6.4,5.38,-0.4042845446946752,13.5,12.681818181818182
1951,10,5.2,5.3999999999999995,-0.4123070422569182,18.6,11.772727272727272
1952,9,4.8,5.281818181818182,-0.4318967005872469,20.4,11.954545454545457
1953,9,4.2,5.509090909090909,-0.4269259638654019,20.7,12.227272727272728
1954,9,4.2,5.3,-0.4455963701157898,6.999999999999999,11.272727272727272
1955,7,2.8000000000000003,5.145454545454545,-0.3954857734475392,6.4,10.881818181818184
1956,11,5.6000000000000005,5.363636363636363,-0.3888174456117227,10.8,10.036363636363635
1957,11,5.3,5.672727272727273,-0.4364383158232101,6.1,8.945454545454545
1958,13,6.1000000000000005,6.081818181818182,-0.4010531351775402,9.2,7.445454545454546
1959,13,5.5,6.736363636363637,-0.4233085850284782,3.5,5.9818181818181815
1960,14,6.5,7.4363636363636365,-0.4082456737830708,3.5,6.4363636363636365
1961,19,8.8,8.245454545454546,-0.4201718593012697,4.2,6.781818181818181
1962,17,8.6,9.118181818181817,-0.4160362549672321,6.6,7.254545454545454
1963,18,9.3,9.581818181818182,-0.3958867431422887,3.9,8.100000000000001
1964,21,11.4,10.354545454545455,-0.4004996794545232,4.6,8.881818181818183
1965,23,11.9,10.936363636363637,-0.3929883533976007,12.0,10.654545454545454
1966,24,11.700000000000001,11.50909090909091,-0.3929985123174806,10.2,12.390909090909092
1967,29,15.200000000000001,11.763636363636364,-0.3805814057111963,16.0,13.481818181818182
1968,23,10.4,12.063636363636363,-0.3999221845479212,15.4,14.845454545454544
1969,26,14.6,12.436363636363637,-0.3864487570621951,17.8,15.32727272727273
1970,23,11.9,12.70909090909091,-0.403516458305348,23.0,16.19090909090909
1971,26,12.8,12.9,-0.4032898926174129,22.6,16.218181818181815
1972,23,11.6,13.418181818181818,-0.4068717510917609,16.2,16.336363636363636
1973,23,11.9,13.772727272727273,-0.3882251197418988,21.6,16.327272727272728
1974,26,13.4,14.590909090909092,-0.3977495467422043,9.2,16.39090909090909
1975,30,14.4,15.136363636363637,-0.4000584829382988,14.1,15.7
1976,32,14.0,15.881818181818183,-0.3877191278904678,12.3,14.536363636363632
1977,36,17.400000000000002,16.563636363636366,-0.3865130539185338,11.5,13.88181818181818
1978,38,19.1,17.454545454545453,-0.3766737302957696,15.9,13.518181818181818
1979,41,19.400000000000002,18.200000000000003,-0.3907036836482284,16.1,12.6
1980,41,20.6,18.581818181818186,-0.3831825681360493,10.2,12.736363636363636
1981,42,20.1,19.172727272727276,-0.3752733003674556,10.2,12.681818181818182
1982,44,20.3,20.01818181818182,-0.3889003234430549,15.4,12.97272727272727
1983,43,21.400000000000002,20.12727272727273,-0.374962344099021,12.2,12.936363636363636
1984,42,20.1,20.12727272727273,-0.3854463280876963,11.5,12.436363636363636
1985,38,17.6,20.33636363636364,-0.3904162598331791,10.7,11.88181818181818
1986,44,20.900000000000002,20.55454545454546,-0.378208400476068,13.5,13.272727272727272
1987,47,23.3,20.772727272727273,-0.3663487045860893,15.5,13.7
1988,39,18.6,20.69090909090909,-0.3677188384801084,11.1,13.245454545454544
1989,41,19.1,20.672727272727272,-0.3864476560703339,10.4,13.081818181818182
1990,49,21.7,20.44545454545455,-0.3836318750623082,10.0,12.836363636363638
1991,53,23.0,20.527272727272727,-0.3768945069339626,25.5,12.409090909090908
1992,51,22.5,20.20909090909091,-0.373028775334731,14.900000000000002,11.754545454545456
1993,44,19.400000000000002,19.818181818181817,-0.3732636691467753,10.4,11.10909090909091
1994,50,21.2,19.854545454545455,-0.3753762225974778,10.4,11.80909090909091
1995,41,17.6,19.79090909090909,-0.3625915278227342,8.8,11.618181818181816
1996,41,18.5,19.481818181818184,-0.3632332194611138,6.0,11.863636363636363
1997,39,17.400000000000002,18.727272727272727,-0.3640589984514343,6.300000000000001,10.045454545454543
1998,40,19.0,18.072727272727274,-0.3699929726007263,8.4,9.445454545454544
1999,40,19.0,17.61818181818182,-0.3660016957764938,18.8,9.00909090909091
2000,40,18.400000000000002,17.027272727272727,-0.3685094711801981,8.3,8.50909090909091
2001,39,18.3,16.763636363636365,-0.3659252201490101,12.7,8.027272727272727
2002,33,14.700000000000001,16.463636363636365,-0.3731846538169132,5.500000000000001,7.627272727272728
2003,33,15.3,16.50909090909091,-0.3602912113577274,8.3,7.760000000000001
2004,33,14.4,16.318181818181817,-0.3795470257337467,5.6,7.688888888888889
2005,33,14.700000000000001,15.936363636363637,-0.3637875502542951,4.9,6.300000000000001
2006,33,14.700000000000001,15.909090909090908,-0.3666002901259794,3.5,6.014285714285715
2007,35,15.200000000000001,15.745454545454544,-0.3629306557816454,1.6,4.900000000000001
