lag,CCF_levels,CCF_diff
-15,-0.396785,0.162621
-14,-0.408872,0.170998
-13,-0.425498,0.18527
-12,-0.446562,0.220012
-11,-0.47299,0.234508
-10,-0.506107,0.226322
-9,-0.544296,0.200874
-8,-0.587787,0.083921
-7,-0.632432,-0.015753
-6,-0.67597,-0.116319
-5,-0.715051,-0.234089
-4,-0.746715,-0.333119
-3,-0.768181,-0.398898
-2,-0.778369,-0.415797
-1,-0.776583,-0.400369
0,-0.761953,-0.353111
1,-0.737523,-0.296159
2,-0.704563,-0.235482
3,-0.664545,-0.136781
4,-0.620333,-0.092609
5,-0.572804,0.018094
6,-0.525462,0.146756
7,-0.481694,0.196836
8,-0.443355,0.248142
9,-0.41189,0.284369
10,-0.388537,0.223876
11,-0.371515,0.15827
12,-0.35914,0.15901
13,-0.351696,0.170329
14,-0.349632,0.147563
15,-0.352137,0.186263
