hypothesis,trace_stat,trace_cv95,eig_stat,eig_cv95,reject_H0
r=0,23.521823459566136,15.4943,12.21113994400332,14.2639,True
r<=1,11.310683515562816,3.8415,11.310683515562816,3.8415,True
